Street,Area,City,Price,Alicuota,sqms,sqm_cov,Rooms,Toilets,Garages,Url,PricePerSqm,lat,lng
Calle Moscu y Checoslovaquia,Centro Norte,Quito,600,['95'],90,['75'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/rento-departamento-de-2-dorm.-sector-republica-de-el-57923547.html,6.666666666666667,-0.1856651,-78.4803491
Batán alto,Centro Norte,Quito,600,['1'],230,['230'],['4'],['4'],['1'],https://www.plusvalia.com/propiedades/amplio-dpto-en-renta-de-4-hab-cerca-de-la-udla-600$-58003029.html,2.608695652173913,-0.1791766,-78.4730632
,Centro Norte,Quito,630,['1'],90,['89'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/re-max-futuro-renta-depar-2d-republica-del-salvador-57920370.html,7.0,-0.1775545,-78.4862109
10 de Agosto y Mariana de Jesús,Centro Norte,Quito,490,['60'],65,['65'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/ideal-para-ejecutivos-departamento-amoblado-de-57987935.html,7.538461538461538,-0.1906918,-78.4928597
,Bellavista,Quito,1600,['10'],191,['191'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/re-max-futuro-arrienda-depar-amoblado-bellavista-57760647.html,8.37696335078534,-0.1872127,-78.4759048
,Centro Norte,Quito,550,['1'],102,['90'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/rento-departamento-en-parque-real-57815109.html,5.392156862745098,-0.1775545,-78.4862109
CUMBAYÁ,Cumbayá,Quito,590,['1'],82,['70'],['1'],['1'],['1'],https://www.plusvalia.com/propiedades/moderna-suite-de-arriendo-en-cumbaya-en-conjunto-57849889.html,7.195121951219512,-0.1806532,-78.4678382
Av. Republica del Salvador y Suecia,Centro Norte,Quito,1100,['250'],160,['115'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/rento-hermoso-departamento-3-dorm.-av-republica-del-57752310.html,6.875,-0.1797393,-78.4798331
Cumbaya,Cumbayá,Quito,800,['184'],142,['105'],['1'],['1'],['1'],https://www.plusvalia.com/propiedades/arriendo-loft-cumbaya-105-m-hermosa-vista-al-ilalo-con-57822731.html,5.633802816901408,-0.1806532,-78.4678382
,Centro Norte,Quito,400,['50'],110,['110'],['2'],['1'],['1'],https://www.plusvalia.com/propiedades/amplio-departamento-2-dorm.-edificio-familiar-centro-57840732.html,3.6363636363636362,-0.1775545,-78.4862109
Jorge Juan y Atahualpa,Centro Norte,Quito,500,['10'],160,['160'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/gestion-inmobiliaria-renta-departamento-cerca-del-57862673.html,3.125,-0.1849659,-78.4929447
Selva Alegre,Centro Norte,Quito,330,['0'],98,['98'],['2'],['1'],['1'],https://www.plusvalia.com/propiedades/se-arrienda-lindo-departamento-sector-selva-alegre-57929901.html,3.36734693877551,-0.1893002,-78.50415799999999
LA CAROLINA,Centro Norte,Quito,450,['150'],80,['80'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/alquiler-de-departamento-dos-habitaciones-1-mes-57695043.html,5.625,-0.1854961,-78.4837189
Ponceano Alto,Norte de Quito,Quito,550,['1'],145,['145'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/departamento-en-renta-ponceano-alto-57755486.html,3.793103448275862,-0.2171459,-78.3735076
